1,дас,das@abv.bg,1020305060,1.2.21,3.2.21,платена,плдас,
2,jkh,asd@abv.bg,1020302010,1.2.25,3.2.25,платена,ок,
3,gf,fd@abv.bg,1030205060,1.2.23,3.2.25,платена,ок,
4,gfdf,gfds@abv.bg,2030506040,1.2.21,2.3.21,платена,нок,
5,jkh,asd@abv.bg,1020302010,1.2.25,3.2.25,платена,nok,
6,abv,abv@abv.bg,1020302030,1.2.21,3.2.25,платена,ок,
7,йхгф,asd@abv.bg,1020302030,1.2.21,2.3.25,платена,ок,
8,mida,mida@zbv.bg,2030506040,1.2.21,3.2.21,платена,ок,
9,jkh,asd@abv.bg,1020302010,1.2.25,3.2.25,платена,ok,
10,das,ad@abv.bg,1020302030,1.2.21,3.2.21,платена,rejected,
11,mir,mir@abv.bg,1020305060,1.2.21,3.2.21,платена,ок,
12,dfasd,asdas@abv.bg,1020305060,5.6.21,5.4.21,платена,приета,







